"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sobha Ltd","SOBHA","532784","Real Estate","3826832866.9","3683651000","3.14","2570587","146750","6.05","/mutual-fund/holding-history/189268/1261/"
"LT Foods Ltd","LTFOODS","532783","Consumer Defensive","2911588898.9","2959011000","2.52","6726554","-316544","-4.49","/mutual-fund/holding-history/189268/302/"
"The South Indian Bank Ltd","SOUTHBANK","532218","Financial Services","2772270496.14","2796938000","2.38","94875787","1130822","1.21","/mutual-fund/holding-history/189268/1270/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2608991996.4","2401312000","2.04","1286739","81000","6.72","/mutual-fund/holding-history/189268/1424/"
"PCBL Chemical Ltd","PCBL","506590","Basic Materials","2090019481.9","2130916000","1.81","5346002","-38863","-0.72","/mutual-fund/holding-history/189268/1034/"
"Apar Industries Ltd","APARINDS","532259","Industrials","2063643886","2114460000","1.8","260594","-2359","-0.9","/mutual-fund/holding-history/189268/88/"
"REC Ltd","RECLTD","532955","Financial Services","1937618867.8","1976180000","1.68","4912204","1431800","41.14","/mutual-fund/holding-history/189268/1119/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","1850184716.9","1893569000","1.61","5290777","150947","2.94","/mutual-fund/holding-history/189268/105/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","1694714712.9","1667189000","1.42","3296469","","","/mutual-fund/holding-history/189268/1565404/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1621738037.25","1609448000","1.37","3964645","675657","20.54","/mutual-fund/holding-history/189268/1026/"
"Shaily Engineering Plastics Ltd","SHAILY","501423","Basic Materials","1347421257","1580022000","1.35","783430","-59533","-7.06","/mutual-fund/holding-history/189268/2105/"
"TVS Holdings Ltd","TVSHLTD","520056","Consumer Cyclical","1312664100","1422293000","1.21","119878","-4508","-3.62","/mutual-fund/holding-history/189268/1309/"
"Karnataka Bank Ltd","KTKBANK","532652","Financial Services","1405872661.71","1388612000","1.18","7016383","114974","1.67","/mutual-fund/holding-history/189268/775/"
"Inox Wind Energy Ltd Ordinary Shares","IWEL","543297","Industrials","1207935015","1357563000","1.16","117355","","","/mutual-fund/holding-history/189268/548271/"
"TARC Ltd Ordinary Shares","TARC","543249","Real Estate","1405664516.66","1274543000","1.09","7454338","385893","5.46","/mutual-fund/holding-history/189268/376564/"
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","1230412743","1273974000","1.08","2739730","103195","3.91","/mutual-fund/holding-history/189268/2863354/"
"Motilal Oswal Financial Services Ltd","MOTILALOFS","532892","Financial Services","1275247723.75","1251073000","1.07","1544725","15000","0.98","/mutual-fund/holding-history/189268/879/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","1368079885.9","1217956000","1.04","835877","60514","7.8","/mutual-fund/holding-history/189268/464/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","1372322586.6","1172667000","1","799582","10000","1.27","/mutual-fund/holding-history/189268/1071/"
"Manappuram Finance Ltd","MANAPPURAM","531213","Financial Services","1324539189.2","1164541000","0.99","4879496","","","/mutual-fund/holding-history/189268/827/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","1064840049","1138258000","0.97","1258230","","","/mutual-fund/holding-history/189268/745/"
"Nitin Spinners Ltd","NITINSPIN","532698","Consumer Cyclical","1076237100","1132323000","0.96","2906000","3871","0.13","/mutual-fund/holding-history/189268/948/"
"eClerx Services Ltd","ECLERX","532927","Technology","1063176890.6","1110813000","0.95","313603","-1500","-0.48","/mutual-fund/holding-history/189268/356/"
"Repco Home Finance Ltd","REPCOHOME","535322","Financial Services","1179531175.5","1097327000","0.93","2810415","405282","16.85","/mutual-fund/holding-history/189268/1132/"
"Rashi Peripherals Ltd","RPTECH","544119","Technology","1036636352.4","1078466000","0.92","3500376","","","/mutual-fund/holding-history/189268/1992194/"
"Jubilant Pharmova Ltd","JUBLPHARMA","530019","Healthcare","977443667.1","1035584000","0.88","882249","106420","13.72","/mutual-fund/holding-history/189268/700/"
"Shilpa Medicare Ltd","SHILPAMED","530549","Healthcare","997933726.2","1021679000","0.87","1133436","-47821","-4.05","/mutual-fund/holding-history/189268/1218/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","993643048.6","989005000","0.84","946507","34039","3.73","/mutual-fund/holding-history/189268/4826/"
"Kolte-Patil Developers Ltd","KOLTEPATIL","532924","Real Estate","1044342898","971855000","0.83","2380540","-20000","-0.83","/mutual-fund/holding-history/189268/755/"
"Cyient Ltd","CYIENT","532175","Industrials","932102308","960780000","0.82","713380","7059","1","/mutual-fund/holding-history/189268/301/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","958016079","931450000","0.79","1140156","-232000","-16.91","/mutual-fund/holding-history/189268/625/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","849245968.7","911685000","0.78","300331","","","/mutual-fund/holding-history/189268/300864/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","932134813.3","901394000","0.77","607531","29427","5.09","/mutual-fund/holding-history/189268/317/"
"Jupiter Wagons Ltd","JWL","533272","Industrials","818099812.15","874883000","0.74","2213773","100202","4.74","/mutual-fund/holding-history/189268/245/"
"Amara Raja Energy & Mobility Ltd","ARE&M","500008","Industrials","779859832.5","828275000","0.71","803565","126066","18.61","/mutual-fund/holding-history/189268/68/"
"Signatureglobal (India) Ltd","SIGNATURE","543990","Real Estate","838296602","817525000","0.7","674414","","","/mutual-fund/holding-history/189268/1696785/"
"Godawari Power & Ispat Ltd","GPIL","532734","Basic Materials","749282642.64","793966000","0.68","4168239","","","/mutual-fund/holding-history/189268/486/"
"Kirloskar Ferrous Industries Ltd","","500245","Industrials","773235575.6","771700000","0.66","1335352","","","/mutual-fund/holding-history/189268/2056/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","661302538.7","755664000","0.64","3875198","","","/mutual-fund/holding-history/189268/1627/"
"Vedanta Ltd","VEDL","500295","Basic Materials","775479301.5","755446000","0.64","1734465","-270000","-13.47","/mutual-fund/holding-history/189268/1289/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","772335684.75","746627000","0.64","802135","188493","30.72","/mutual-fund/holding-history/189268/452/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","713650698.8","746562000","0.64","650429","","","/mutual-fund/holding-history/189268/132/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","873022443.2","739103000","0.63","504404","","","/mutual-fund/holding-history/189268/1527/"
"Strides Pharma Science Ltd","STAR","532531","Healthcare","738425001.6","724403000","0.62","893112","-49087","-5.21","/mutual-fund/holding-history/189268/1291/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","700328698.45","722041000","0.61","916121","","","/mutual-fund/holding-history/189268/234/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","758792220.1","721791000","0.61","322027","-31000","-8.78","/mutual-fund/holding-history/189268/67/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","682347227.3","721518000","0.61","3497423","648454","22.76","/mutual-fund/holding-history/189268/1093348/"
"Juniper Hotels Ltd","JUNIPER","544129","Consumer Cyclical","682709945","711754000","0.61","2314271","29572","1.29","/mutual-fund/holding-history/189268/2049000/"
"NCC Ltd","NCC","500294","Industrials","680495065.7","710907000","0.61","3074989","","","/mutual-fund/holding-history/189268/918/"
"Senco Gold Ltd","SENCO","543936","Consumer Cyclical","606547187.7","683094000","0.58","1792662","52300","3.01","/mutual-fund/holding-history/189268/1525832/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","695343847.8","676193000","0.58","427483","","","/mutual-fund/holding-history/189268/54899/"
"Nuvama Wealth Management Ltd","NUVAMA","543988","Financial Services","642391902.5","671513000","0.57","93337","511","0.55","/mutual-fund/holding-history/189268/1715909/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","617429900.85","658038000","0.56","2636899","","","/mutual-fund/holding-history/189268/162/"
"Fedbank Financial Services Ltd","FEDFINA","544027","Financial Services","762358120.25","649443000","0.55","6614821","592321","9.84","/mutual-fund/holding-history/189268/1785397/"
"Birlasoft Ltd","BSOFT","532400","Technology","672390475.4","639042000","0.54","1595611","73797","4.85","/mutual-fund/holding-history/189268/763/"
"S H Kelkar & Co Ltd","SHK","539450","Basic Materials","623374344.31","633434000","0.54","2599451","","","/mutual-fund/holding-history/189268/1788/"
"Neuland Laboratories Ltd","NEULANDLAB","524558","Healthcare","653417690","613823000","0.52","53362","1600","3.09","/mutual-fund/holding-history/189268/933/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","620200658.2","596621000","0.51","235558","-7354","-3.03","/mutual-fund/holding-history/189268/1090/"
"Stove Kraft Ltd Ordinary Shares","STOVEKRAFT","543260","Consumer Cyclical","614932130.25","595990000","0.51","1091757","42589","4.06","/mutual-fund/holding-history/189268/409322/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","596975882.6","567424000","0.48","143249","","","/mutual-fund/holding-history/189268/297909/"
"Spicejet Ltd","","500285","Industrials","503186283.6","565142000","0.48","12567090","","","/mutual-fund/holding-history/189268/2064/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","627241608.3","563428000","0.48","258667","","","/mutual-fund/holding-history/189268/253/"
"Power Mech Projects Ltd","POWERMECH","539302","Industrials","545482099.5","556826000","0.47","179205","","","/mutual-fund/holding-history/189268/1766/"
"Tilaknagar Industries Ltd","TI","507205","Consumer Defensive","536608757.25","552066000","0.47","1486245","-27431","-1.81","/mutual-fund/holding-history/189268/1391/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","533158443.7","546657000","0.47","401747","","","/mutual-fund/holding-history/189268/658068/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","555002315","537557000","0.46","980050","38202","4.06","/mutual-fund/holding-history/189268/2618334/"
"EFC (I) Ltd","","512008","Real Estate","469926744","521466000","0.44","1557080","-10000","-0.64","/mutual-fund/holding-history/189268/2513/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","518348468","518812000","0.44","927610","-229667","-19.85","/mutual-fund/holding-history/189268/77534/"
"Updater Services Ltd","UDS","543996","Industrials","453103717","513397000","0.44","1572185","10000","0.64","/mutual-fund/holding-history/189268/1712499/"
"Punjab National Bank","PNB","532461","Financial Services","489825060.48","503040000","0.43","4753737","","","/mutual-fund/holding-history/189268/1048/"
"Baazar Style Retail Ltd","STYLEBAAZA","544243","Consumer Cyclical","495556056.8","502913000","0.43","1936144","60000","3.2","/mutual-fund/holding-history/189268/2586584/"
"Kewal Kiran Clothing Ltd","KKCL","532732","Consumer Cyclical","562199332.3","490382000","0.42","1131869","24436","2.21","/mutual-fund/holding-history/189268/749/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","455728503","480412000","0.41","168601","","","/mutual-fund/holding-history/189268/877860/"
"Sunteck Realty Ltd","SUNTECK","512179","Real Estate","507731336.7","479341000","0.41","1154066","31000","2.76","/mutual-fund/holding-history/189268/1317/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","563904495","460470000","0.39","69747","-13810","-16.53","/mutual-fund/holding-history/189268/853/"
"Epigral Ltd","EPIGRAL","543332","Basic Materials","443904989","456391000","0.39","256385","","","/mutual-fund/holding-history/189268/634820/"
"DCB Bank Ltd","DCBBANK","532772","Financial Services","437879910.6","451169000","0.38","3069180","1149372","59.87","/mutual-fund/holding-history/189268/311/"
"Hi-Tech Pipes Ltd","HITECH","543411","Basic Materials","466977353.6","448854000","0.38","4707433","55000","1.18","/mutual-fund/holding-history/189268/87816/"
"Vishnu Chemicals Ltd","VISHNU","516072","Basic Materials","446008538.8","446746000","0.38","819944","-70939","-7.96","/mutual-fund/holding-history/189268/1579/"
"NLC India Ltd","NLCINDIA","513683","Utilities","405521394.08","440274000","0.37","1821422","","","/mutual-fund/holding-history/189268/935/"
"CESC Ltd","CESC","500084","Utilities","442415841.31","439735000","0.37","2707729","","","/mutual-fund/holding-history/189268/256/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","444421990.65","439473000","0.37","702033","16000","2.33","/mutual-fund/holding-history/189268/1121044/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","510999097.5","433175000","0.37","401571","168000","71.93","/mutual-fund/holding-history/189268/1253626/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","383227580","427799000","0.36","976376","","","/mutual-fund/holding-history/189268/1419/"
"Akums Drugs and Pharmaceuticals Ltd","AKUMS","544222","Healthcare","404630607.6","426029000","0.36","745588","","","/mutual-fund/holding-history/189268/2471889/"
"Sagility India Ltd","SAGILITY","544282","Healthcare","432415500","425738000","0.36","10770000","10770000","New","/mutual-fund/holding-history/189268/2757688/"
"Mastek Ltd","MASTEK","523704","Technology","437210811","420380000","0.36","180591","21764","13.7","/mutual-fund/holding-history/189268/843/"
"Sapphire Foods India Ltd","SAPPHIRE","543397","Consumer Cyclical","414865444.8","405808000","0.35","1275724","","","/mutual-fund/holding-history/189268/716755/"
"Bombay Burmah Trading Corp Ltd","BBTC","501425","Consumer Defensive","363916198.4","397640000","0.34","196754","10000","5.35","/mutual-fund/holding-history/189268/171/"
"Arvind SmartSpaces Ltd","ARVSMART","539301","Real Estate","388332236.5","392275000","0.33","584090","84944","17.02","/mutual-fund/holding-history/189268/1760/"
"Lumax Auto Technologies Ltd","LUMAXTECH","532796","Consumer Cyclical","516286996.6","388640000","0.33","478886","-55000","-10.3","/mutual-fund/holding-history/189268/803/"
"OneSource Specialty Pharma Ltd","","530805","Healthcare","543341.45","385351000","0.33","200495","-1048","-0.52","/mutual-fund/holding-history/189268/82741/"
"Electronics Mart India Ltd","EMIL","543626","Consumer Cyclical","474737738.25","382782000","0.33","3182955","60000","1.92","/mutual-fund/holding-history/189268/1063762/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","406571090.31","382465000","0.33","1604907","-180000","-10.08","/mutual-fund/holding-history/189268/589490/"
"Medplus Health Services Ltd","MEDPLUS","543427","Healthcare","343739004.6","381432000","0.32","394694","-43328","-9.89","/mutual-fund/holding-history/189268/752902/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","375079665.15","376016000","0.32","535331","14957","2.87","/mutual-fund/holding-history/189268/450809/"
"Godrej Industries Ltd","GODREJIND","500164","Industrials","420800773.5","369687000","0.31","312051","","","/mutual-fund/holding-history/189268/477/"
"Eureka Forbes Ltd","","543482","Consumer Cyclical","338551775.1","369013000","0.31","574742","","","/mutual-fund/holding-history/189268/850674/"
"Marksans Pharma Ltd","MARKSANS","524404","Healthcare","337365360","367475000","0.31","1405689","","","/mutual-fund/holding-history/189268/841/"
"SIS Ltd Ordinary Shares","SIS","540673","Industrials","374086816.2","361877000","0.31","1017508","1017508","New","/mutual-fund/holding-history/189268/57882/"
"Greenply Industries Ltd","GREENPLY","526797","Basic Materials","351119214.6","358827000","0.31","1109031","","","/mutual-fund/holding-history/189268/494/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","368016200","356646000","0.3","251000","-45000","-15.2","/mutual-fund/holding-history/189268/1127/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","366952810","349243000","0.3","227921","3800","1.7","/mutual-fund/holding-history/189268/209/"
"Ecos (India) Mobility & Hospitality Ltd","ECOSMOBLTY","544239","Industrials","347200235.4","342119000","0.29","1198482","","","/mutual-fund/holding-history/189268/2571013/"
